request_id,department,task_type,corridor_name,line_type,longitude,latitude,defect_severity,backlog_age_days,required_duration_mins,timestamp
REQ-IR-2026-0001,TMS,USFD Rail Flaw Testing,Pune - Daund Line,UP Line,74.0243176,18.5150626,3,22,120,2026-08-15T04:06:12.766246
REQ-IR-2026-0002,SMMS,Signal Point Testing & Interlocking,Pune - Lonavala Line,Yard Siding,73.6607893,18.6320506,2,11,60,2026-08-26T17:19:12.766246
REQ-IR-2026-0003,TMS,Deep Screening & Tamping,Pune - Miraj Line,Yard Siding,74.2882739,17.5471429,1,18,240,2026-08-19T06:48:12.766246
REQ-IR-2026-0004,TMS,USFD Rail Flaw Testing,Pune - Lonavala Line,Yard Siding,73.4226202,18.7466264,1,11,120,2026-08-26T12:48:12.766246
REQ-IR-2026-0005,TDMS,OHE Insulation & Cantilever Testing,Pune - Daund Line,UP Line,74.5799817,18.4634159,1,22,180,2026-08-15T01:02:12.766246
REQ-IR-2026-0006,SMMS,Signal Point Testing & Interlocking,Pune - Daund Line,UP Line,74.0932287,18.5084346,3,9,60,2026-08-28T03:43:12.766246
REQ-IR-2026-0007,TMS,USFD Rail Flaw Testing,Pune - Daund Line,UP Line,74.0445828,18.5131657,5,5,120,2026-08-31T19:56:12.766246
REQ-IR-2026-0008,TDMS,OHE Insulation & Cantilever Testing,Pune - Miraj Line,DOWN Line,74.2447572,17.6508587,3,21,180,2026-08-16T14:41:12.766246
REQ-IR-2026-0009,SMMS,Block Instrument Maintenance,Pune - Lonavala Line,UP Line,73.5033674,18.7076707,4,2,45,2026-09-04T09:18:12.766246
REQ-IR-2026-0010,TDMS,OHE Insulation & Cantilever Testing,Pune - Lonavala Line,UP Line,73.4494197,18.7337592,4,3,180,2026-09-03T03:54:12.766246
REQ-IR-2026-0011,TMS,USFD Rail Flaw Testing,Pune - Daund Line,DOWN Line,74.2504918,18.4939751,2,23,120,2026-08-14T13:50:12.766246
REQ-IR-2026-0012,SMMS,Axle Counter & Track Circuit Check,Pune - Miraj Line,Yard Siding,74.4572124,17.1473812,1,11,90,2026-08-26T12:58:12.766246
REQ-IR-2026-0013,TMS,Deep Screening & Tamping,Pune - Miraj Line,UP Line,74.1363174,17.9082111,1,17,240,2026-08-20T03:18:12.766246
REQ-IR-2026-0014,SMMS,Signal Point Testing & Interlocking,Pune - Lonavala Line,Yard Siding,73.5988994,18.6616994,2,21,60,2026-08-16T13:11:12.766246
REQ-IR-2026-0015,SMMS,Signal Point Testing & Interlocking,Pune - Lonavala Line,DOWN Line,73.4765939,18.720392,1,20,60,2026-08-17T05:42:12.766246
REQ-IR-2026-0016,TMS,USFD Rail Flaw Testing,Pune - Lonavala Line,DOWN Line,73.7807044,18.5740657,3,13,120,2026-08-23T20:25:12.768257
REQ-IR-2026-0017,SMMS,Axle Counter & Track Circuit Check,Pune - Miraj Line,UP Line,73.9319878,18.3924529,3,19,90,2026-08-18T16:57:12.768257
REQ-IR-2026-0018,SMMS,Signal Point Testing & Interlocking,Pune - Miraj Line,DOWN Line,74.0987316,17.9971279,4,1,60,2026-09-05T10:55:12.768257
REQ-IR-2026-0019,TMS,USFD Rail Flaw Testing,Pune - Miraj Line,UP Line,73.9152613,18.4319617,1,22,120,2026-08-14T20:10:12.768257
REQ-IR-2026-0020,SMMS,Signal Point Testing & Interlocking,Pune - Daund Line,DOWN Line,74.1055232,18.5075568,2,17,60,2026-08-20T16:55:12.768257
REQ-IR-2026-0021,TDMS,Neutral Section Inspection,Pune - Lonavala Line,Yard Siding,73.4606548,18.7280928,1,12,90,2026-08-24T23:22:12.768257
REQ-IR-2026-0022,TDMS,OHE Insulation & Cantilever Testing,Pune - Miraj Line,DOWN Line,74.5017135,17.041534,2,25,180,2026-08-12T18:16:12.768257
REQ-IR-2026-0023,TDMS,OHE Insulation & Cantilever Testing,Pune - Miraj Line,Yard Siding,74.012549,18.2014661,1,19,180,2026-08-18T06:39:12.768257
REQ-IR-2026-0024,TMS,Rail Joint Welding Inspection,Pune - Miraj Line,UP Line,74.2176249,17.7152312,1,3,90,2026-09-02T23:09:12.768257
REQ-IR-2026-0025,TMS,USFD Rail Flaw Testing,Pune - Lonavala Line,Yard Siding,73.6903391,18.6175746,3,17,120,2026-08-20T17:14:12.768257
REQ-IR-2026-0026,SMMS,Axle Counter & Track Circuit Check,Pune - Lonavala Line,UP Line,73.6918009,18.6166338,2,14,90,2026-08-23T06:41:12.768257
